year,make,model,body_styles
2001,Ford,Focus,"[""Sedan"", ""Hatchback"", ""Wagon""]"
2001,Ford,Mustang,"[""Coupe"", ""Convertible""]"
2001,Ford,Ranger Regular Cab,"[""Pickup""]"
2001,Ford,Ranger Super Cab,"[""Pickup""]"
2001,Ford,Taurus,"[""Sedan"", ""Wagon""]"
2001,Ford,Windstar Cargo,"[""Van/Minivan""]"
2001,Ford,Windstar Passenger,"[""Van/Minivan""]"
2001,Ford,ZX2,"[""Coupe""]"
2001,GMC,Jimmy,"[""SUV""]"
2001,GMC,Safari Cargo,"[""Van/Minivan""]"
2001,GMC,Safari Passenger,"[""Van/Minivan""]"
2001,GMC,Savana 1500 Cargo,"[""Van/Minivan""]"
2001,GMC,Savana 1500 Passenger,"[""Van/Minivan""]"
2001,GMC,Savana 2500 Cargo,"[""Van/Minivan""]"
2001,GMC,Savana 2500 Passenger,"[""Van/Minivan""]"
2001,GMC,Savana 3500 Cargo,"[""Van/Minivan""]"
2001,GMC,Savana 3500 Passenger,"[""Van/Minivan""]"
2001,GMC,Sierra 1500 Extended Cab,"[""Pickup""]"
2001,GMC,Sierra 1500 HD Crew Cab,"[""Pickup""]"
2001,GMC,Sierra 1500 Regular Cab,"[""Pickup""]"
2001,GMC,Sierra 2500 Extended Cab,"[""Pickup""]"
2001,GMC,Sierra 2500 HD Crew Cab,"[""Pickup""]"
2001,GMC,Sierra 2500 HD Extended Cab,"[""Pickup""]"
2001,GMC,Sierra 2500 HD Regular Cab,"[""Pickup""]"
2001,GMC,Sierra 2500 Regular Cab,"[""Pickup""]"
2001,GMC,Sierra 3500 Crew Cab,"[""Pickup""]"
2001,GMC,Sierra 3500 Extended Cab,"[""Pickup""]"
2001,GMC,Sierra 3500 Regular Cab,"[""Pickup""]"
2001,GMC,Sonoma Crew Cab,"[""Pickup""]"
2001,GMC,Sonoma Extended Cab,"[""Pickup""]"
2001,GMC,Sonoma Regular Cab,"[""Pickup""]"
2001,GMC,Yukon,"[""SUV""]"
2001,GMC,Yukon XL 1500,"[""SUV""]"
2001,GMC,Yukon XL 2500,"[""SUV""]"
2001,Honda,Accord,"[""Sedan"", ""Coupe""]"
2001,Honda,Civic,"[""Sedan"", ""Coupe""]"
2001,Honda,CR-V,"[""SUV""]"
2001,Honda,Insight,"[""Hatchback""]"
2001,Honda,Odyssey,"[""Van/Minivan""]"
2001,Honda,Passport,"[""SUV""]"
2001,Honda,Prelude,"[""Coupe""]"
2001,Honda,S2000,"[""Convertible""]"
